"id","name","title","gender","birth_date","death_date","family_self","family_parents","dist_to_I1208","dist_to_I1128","dist_to_I610","dist_to_I3012","dist_to_I3023","dist_to_I3034","dist_to_I452","dist_to_I444","dist_to_I603","dist_to_I52","min_offset_to_royal","min_dist_to_royal"
"I58","Charles Philip Arthu (Windsor)","Prince","M",1948,,"F16","F14",12,9,7,14,9,17,7,7,7,1,5,1
"I59","Anne Elizabeth Alic (Windsor)","Princess","F",1950,,"F15","F14",12,9,7,14,9,17,7,7,7,1,5,1
"I60","Andrew Albert Christia (Windsor)","Duke of York","M",1960,,"F53","F14",12,9,7,14,9,17,7,7,7,1,5,1
"I61","Edward Anthony Richar (Windsor)","Prince","M",1964,,"","F14",12,9,7,14,9,17,7,7,7,1,5,1
"I62","Mark Anthony Pete (Phillips)","Captain","M",1948,,"F15","F1405",13,10,8,15,10,18,8,8,8,2,5,2
"I63","Peter Mark Andre (Phillips)",,"M",1977,,"","F15",13,10,8,15,10,18,8,8,8,2,5,2
"I64","Zara Anne Elizabet (Phillips)",,"F",1981,,"","F15",13,10,8,15,10,18,8,8,8,2,5,2
"I65","Diana Frances (Spencer)","Lady","F",1961,,"F16","F78",13,10,8,15,10,18,8,8,8,2,5,2
"I66","Marina of Greece","Princess","F",1906,1968,"F17","F76",11,8,7,13,8,16,6,6,8,4,5,4
"I67","Edward George Nichola (Windsor)","Duke of Kent","M",1935,,"F31","F17",12,9,8,14,9,17,6,7,8,4,5,4
"I68","Henry George Charle (Lascelles)","Viscount","M",1882,1947,"F18","",12,9,8,15,9,18,6,9,8,4,5,4
"I69","Alice Christabel (Montagu-Douglas)","Lady","F",1901,,"F19","F296",12,9,8,15,9,18,6,9,8,4,5,4
"I70","Bessiewallis  (Warfield)",,"F",1896,1986,"F20 - F24 - F25","F55",12,9,8,15,9,18,6,9,8,4,5,4
"I71","Charles Haakon VII","King of Norway","M",1872,1957,"F21","F218",10,5,4,12,5,15,2,7,7,5,6,2
"I72","Henry of Prussia","Prince","M",1862,1929,"F22","F3",9,10,6,11,10,14,6,5,6,6,8,5
"I73","Sigismund ",,"M",1864,1866,"","F3",9,10,6,11,10,14,6,5,6,6,8,5
"I74","Victoria ","Princess","F",1866,1929,"F138 - F442","F3",9,10,6,11,10,14,6,5,6,6,8,5
"I75","Waldemar ",,"M",1868,1879,"","F3",9,10,6,11,10,14,6,5,6,6,8,5
"I76","Sophie of Prussia","Queen of Greece","F",1870,1932,"F139","F3",9,8,5,11,8,14,6,3,6,5,8,3
"I77","Charlotte of Saxe- Meiningen","Duchess","F",1860,1919,"F137","F3",9,10,6,11,10,14,6,5,6,6,8,5
"I78","Margarete of Hesse","Princess","F",1872,1954,"F140","F3",9,10,6,11,10,14,6,5,6,6,8,5
"I79","Irene of Hesse","Princess","F",1866,1953,"F22","F8",10,10,6,12,10,15,6,6,6,5,5,5
"I80","Waldemar ",,"M",1889,1945,"","F22",10,11,7,12,11,15,7,6,7,6,6.5,6
"I81","Henry ",,"M",1900,1904,"","F22",10,11,7,12,11,15,7,6,7,6,6.5,6
"I82","Child #3 ",,"M",1889,,"","F22",10,11,7,12,11,15,7,6,7,6,6.5,6
"I83","Ernest Louis of Hesse","Grand Duke","M",1868,1937,"F49 - F157","F8",10,10,6,12,10,16,6,7,6,5,5,5
"I84","Elizabeth ""Ella""","Grand Duchess","F",1864,1918,"F144","F8",10,10,6,12,10,15,6,7,6,5,5,5
"I85","Mary ""May""",,"F",1874,1878,"","F8",10,10,6,12,10,16,6,7,6,5,5,5
"I86","Frederick ",,"M",1870,1873,"","F8",10,10,6,12,10,16,6,7,6,5,5,5
"I87","William Henry Andre (Windsor)","Prince","M",1941,1972,"","F19",12,9,8,15,9,18,6,9,8,4,5,4
