"source","target","family_id","type","min_dist_to_royal"
"I172","I171","F55","wife-husband",5
"I171","I70","F55","father-child",5
"I172","I70","F55","mother-child",5
"I183","I182","F56","wife-husband",3
"I182","I145","F56","father-child",3
"I183","I145","F56","mother-child",3
"I185","I184","F57","wife-husband",4
"I184","I186","F57","father-child",4
"I185","I186","F57","mother-child",4
"I184","I182","F57","father-child",4
"I185","I182","F57","mother-child",4
"I188","I187","F58","wife-husband",5
"I187","I189","F58","father-child",5
"I188","I189","F58","mother-child",5
"I187","I184","F58","father-child",5
"I188","I184","F58","mother-child",5
"I188","I190","F59","wife-husband",5
"I174","I191","F60","wife-husband",3
"I192","I175","F61","wife-husband",4
"I193","I176","F62","wife-husband",4
"I176","I1962","F62","father-child",3
"I193","I1962","F62","mother-child",4
"I176","I1963","F62","father-child",3
"I193","I1963","F62","mother-child",4
"I194","I178","F63","wife-husband",4
"I179","I195","F64","wife-husband",3
"I196","I180","F65","wife-husband",4
"I197","I181","F66","wife-husband",4
"I1216","I19","F67","wife-husband",5
"I19","I23","F67","father-child",5
"I1216","I23","F67","mother-child",5
"I19","I656","F67","father-child",5
"I1216","I656","F67","mother-child",5
"I200","I199","F68","wife-husband",4
"I199","I120","F68","father-child",4
"I200","I120","F68","mother-child",4
"I8","I201","F69","wife-husband",5
"I208","I207","F71","wife-husband",3
"I207","I146","F71","father-child",3
"I208","I146","F71","mother-child",3
"I210","I211","F72","wife-husband",6
"I219","I203","F73","wife-husband",7
"I203","I220","F73","father-child",6
"I219","I220","F73","mother-child",7
"I203","I221","F73","father-child",6
"I219","I221","F73","mother-child",7
"I203","I222","F73","father-child",6
"I219","I222","F73","mother-child",7
"I203","I223","F73","father-child",6
"I219","I223","F73","mother-child",7
"I226","I225","F74","wife-husband",4
"I225","I604","F74","father-child",4
"I226","I604","F74","mother-child",4
"I225","I12","F74","father-child",4
"I226","I12","F74","mother-child",4
"I225","I227","F74","father-child",4
"I226","I227","F74","mother-child",4
"I225","I41","F74","father-child",4
"I226","I41","F74","mother-child",4
"I225","I254","F74","father-child",4
"I226","I254","F74","mother-child",4
"I225","I1663","F74","father-child",4
"I226","I1663","F74","mother-child",4
"I228","I227","F75","wife-husband",3
"I227","I405","F75","father-child",3
"I228","I405","F75","mother-child",3
"I227","I466","F75","father-child",3
"I228","I466","F75","mother-child",3
"I227","I163","F75","father-child",3
"I228","I163","F75","mother-child",3
"I227","I229","F75","father-child",3
"I228","I229","F75","mother-child",3
"I227","I2673","F75","father-child",3
"I228","I2673","F75","mother-child",3
"I227","I104","F75","father-child",3
"I228","I104","F75","mother-child",3
"I227","I465","F75","father-child",3
"I228","I465","F75","mother-child",3
"I227","I467","F75","father-child",3
"I228","I467","F75","mother-child",3
"I1362","I229","F76","wife-husband",5
"I229","I66","F76","father-child",4
"I1362","I66","F76","mother-child",5
"I229","I236","F76","father-child",4
"I1362","I236","F76","mother-child",5
"I229","I237","F76","father-child",4
"I1362","I237","F76","mother-child",5
"I229","I2964","F76","father-child",4
"I1362","I2964","F76","mother-child",5
"I229","I2967","F76","father-child",4
"I1362","I2967","F76","mother-child",5
"I238","I124","F77","wife-husband",3
"I93","I239","F78","wife-husband",3
"I239","I240","F78","father-child",3
"I93","I240","F78","mother-child",3
"I239","I241","F78","father-child",3
"I93","I241","F78","mother-child",3
"I239","I1712","F78","father-child",3
"I93","I1712","F78","mother-child",3
"I239","I65","F78","father-child",3
"I93","I65","F78","mother-child",3
"I239","I242","F78","father-child",3
"I93","I242","F78","mother-child",3
"I243","I239","F79","wife-husband",4
"I144","I1696","F80","wife-husband",6
"I517","I246","F81","wife-husband",8
"I246","I556","F81","father-child",8
"I517","I556","F81","mother-child",8
"I204","I247","F82","wife-husband",6
"I248","I212","F83","wife-husband",6
"I212","I249","F83","father-child",6
"I248","I249","F83","mother-child",6
"I250","I249","F84","wife-husband",5
"I249","I251","F84","father-child",5
"I250","I251","F84","mother-child",5
