"hip","proper","ra","dec","mag","t_eff"
4903,"",1.048407,41.345157,5.95,8011
4906,"",1.049058,7.890135,4.27,4944
4911,"",1.050423,47.376158,6.46,7494
4914,"",1.050705,-4.836601,5.4,4654
4932,"",1.054918,-29.525848,6.28,4985
4962,"",1.06028,61.074823,5.92,6235
4979,"",1.063619,1.366846,6.06,7370
4998,"",1.06733,52.502161,5.99,4082
5021,"",1.072084,61.580184,5.83,6010
5034,"",1.074339,29.658806,6.2,6532
5042,"",1.075717,-33.532845,6.44,4717
5074,"",1.081288,5.656262,6.03,3943
5081,"",1.084821,14.946133,5.64,6636
5121,"",1.093579,-9.979323,6.09,4826
5131,"",1.094709,21.473181,5.33,9488
5132,"",1.094919,21.465442,5.55,10354
5141,"",1.097008,4.908372,6.35,6808
5165,"",1.101407,-46.718414,3.32,5085
5164,"",1.10143,-9.839354,5.58,9406
5170,"",1.102141,-23.992451,6.12,4708
5175,"",1.103111,32.181485,6.28,4310
5204,"",1.109341,12.956039,6.14,4924
5240,"",1.116702,56.934972,6.41,4510
5251,"",1.119292,53.498185,6.31,3991
5259,"",1.120255,-23.996334,6.36,7549
5268,"",1.121838,-61.775289,5.36,5088
5296,"",1.129502,-9.78555,5.71,6518
5300,"",1.129957,-41.486916,5.21,8024
5310,"",1.132544,20.739113,5.56,8291
5315,"",1.13324,1.993042,6.44,5172
5317,"",1.133559,43.942092,5.04,8383
5319,"",1.133701,32.01213,6.23,6738
5336,"",1.137477,54.92034,5.17,5551
5346,"",1.1395,5.649819,5.51,7047
5348,"",1.139742,-55.24576,3.94,12367
5361,"",1.142627,58.263449,5.77,9823
5364,"",1.143164,-10.182264,3.46,4557
5372,"",1.145613,86.25709,4.24,4468
5412,"",1.15341,80.011579,6.24,5006
5434,"",1.158368,47.241792,4.26,9366
5447,"Mirach",1.162194,35.620558,2.07,3837
5454,"",1.163667,19.658408,5.57,5573
5477,"",1.168715,-57.694419,6.41,5079
5483,"",1.169845,15.673912,6.07,3923
5485,"",1.169985,-8.906135,6.4,4794
5493,"",1.17188,42.081475,5.67,5884
5494,"",1.17207,25.457763,5.81,4050
5510,"",1.175987,2.44567,5.97,4006
5518,"",1.177579,68.778621,5.32,9742
5542,"",1.185017,55.149901,4.34,7952
5544,"",1.185213,31.424736,5.15,7423
5550,"",1.186189,37.724121,5.8,11523
5566,"",1.190428,64.202677,5.56,10437
5571,"",1.190894,21.03465,4.66,4804
5575,"",1.191381,10.291908,6.49,5072
5586,"",1.194342,30.089638,4.51,4679
5589,"",1.194829,65.018854,5.57,10894
5594,"",1.195419,-2.251079,5.93,4155
5626,"",1.204601,79.673963,5.6,9419
5650,"",1.209465,45.337531,6.13,3635
5661,"",1.212616,-37.856479,5.95,7317
5679,"",1.21652,30.064229,6.24,4888
5688,"",1.219398,61.706188,6.4,9288
5737,"",1.228857,7.575354,5.21,7117
5742,"",1.229152,24.583713,4.67,4761
5743,"",1.22924,7.578261,6.44,6319
5772,"",1.234695,28.529575,6.33,3525
5778,"",1.235453,16.133479,5.97,11153
5799,"",1.240011,-7.922826,5.14,6509
5824,"",1.245109,6.995136,6.04,4699
5833,"",1.246992,-0.973795,5.7,6599
5862,"",1.253043,-45.531664,4.97,6002
5896,"",1.262704,-68.875927,4.25,6370
5914,"",1.268064,25.769358,6.76,NA
5926,"",1.269972,71.743842,5.87,NA
5928,"",1.270176,87.145496,6.2,4639
5936,"",1.271922,33.11472,6.04,4554
5947,"",1.275281,79.910013,6.27,6545
5951,"",1.276747,-2.500368,5.42,5079
5992,"",1.284364,-66.397854,6.23,8896
5993,"",1.284739,44.901992,6.11,3804
6025,"",1.290033,31.744617,6.36,4608
6061,"",1.296654,3.614466,5.13,8709
6087,"",1.302818,47.419706,6.29,4230
6093,"",1.303858,57.803166,6.39,3807
6140,"",1.313058,37.386275,6.44,7577
6193,"",1.324443,27.264059,4.74,9117
6226,"",1.330082,-0.509029,5.87,5773
6242,"",1.334699,58.231611,4.95,5616
6261,"",1.338733,77.570682,6.31,5027
6272,"",1.341058,-11.238999,6.16,4661
6283,"",1.342937,-3.24699,6.26,4824
6312,"",1.35145,64.658131,6.33,8352
6315,"",1.352047,28.738207,5.23,4166
6371,"",1.364429,50.121984,6.54,4657
6378,"",1.366383,76.238804,6.37,7307
6411,"",1.372337,45.528778,4.87,4706
6427,"",1.375134,-19.081208,6.35,6314
6429,"",1.376342,-0.449673,6.5,4702
6432,"",1.376931,1.726332,6.21,4022
6486,"",1.389264,58.142994,6.36,6470
6492,"",1.390264,20.468967,5.97,3551
6502,"",1.391933,-30.945617,5.84,3749
6512,"",1.393735,34.245887,6.28,5215
6514,"",1.394612,37.714943,5.6,7343
6522,"",1.396337,78.726056,6.07,6780
6537,"",1.40039,-8.183257,3.6,4728
6539,"",1.400705,-8.007416,6.21,7566
6564,"",1.405695,-6.914656,5.92,6696
6589,"",1.411092,-15.660468,6.17,5002
6592,"",1.411329,-41.492549,5.42,4792
6595,"",1.411644,-44.528575,6.26,4625
6605,"",1.413522,-2.84859,6.17,4930
6631,"",1.418136,-64.369478,5.92,3870
6669,"",1.426577,23.511519,6.18,6514
6670,"",1.427009,-14.598796,4.9,4437
6685,"",1.42953,70.979887,6.34,9695
6686,"Ruchbah",1.430216,60.235283,2.66,8017
6687,"",1.431212,-3.927391,6.5,4244
6692,"",1.432208,68.130012,4.72,4761
6702,"",1.435765,34.5797,6.34,6285
6706,"",1.437573,19.172346,5.35,6752
6711,"",1.438517,43.457739,5.98,6203
6714,"",1.439887,20.070804,6.44,4954
6717,"",1.44093,-0.399034,6.42,4421
